meter,age
128.5106383,442.2463916
134.0425532,443.0420984
136.0126084,443.4866396
141.43026,443.9074247
146.355398,444.2814449
152.7580772,444.6787231
157.6832151,444.9591138
162.608353,445.216097
167.0409771,445.5199448
172.9511426,445.9640876
180.8313633,446.3612164
187.2340426,446.7350871
191.6666667,447.0857498
196.5918046,447.5299921
201.5169425,448.0444566
205.9495666,448.4185266
207.9196217,448.8864752
211.3672183,449.4713113
212.8447597,449.9861245
216.2923562,450.6645901
217.7698976,451.2028107
221.2174941,451.9280911
221.2174941,452.8409793
224.1725768,453.9642351
225.6501182,455.064233
226.6351458,455.9536142
225.6501182,456.9602315
225.1576044,457.6859104
222.6950355,458.3181589
220.2324665,458.8099631
217.2773838,459.3486319
214.322301,459.7702637
208.9046493,460.4496258
202.5019701,461.0822727
193.144208,461.7152185
187.7265563,462.3945806
183.2939322,462.9568062
180.8313633,463.5890547
179.8463357,464.3147834
180.8313633,465.2743867
180.3388495,466.1405099
179.8463357,466.6789297
180.8313633,467.5214961
180.8313633,468.1066808
180.8313633,468.6450507
181.8163909,469.2535432
183.786446,470.0023805
184.2789598,470.6577376
185.7565012,471.5470689
187.2340426,472.2491412
186.7415288,472.9280053
186.249015,473.4898324
186.249015,474.3793132
186.7415288,475.0112629
185.7565012,475.7838064
185.2639874,476.5797074
185.2639874,477.3053365
183.2939322,478.2418312
182.3089046,478.8973377
180.3388495,479.3422773
178.8613081,479.7403524
176.891253,480.3023289
174.428684,481.3559104
171.4736013,482.2925048
168.0260047,483.1589268
165.5634358,484.2359157
164.0858944,485.0319164
161.6233255,485.6407575
158.8652482,486.286144
154.9821277,487.1856141
146.1582979,488.7940705
